sample	libsize_75percent
SRR1086116.all	191586.0
SRR1086140.all	181827.0
SRR1086164.all	212644.25
SRR1086188.all	168305.25
SRR1086212.all	268560.0
SRR1086236.all	219097.25
SRR1086256.all	162188.25
SRR1086280.all	266766.0
SRR1086304.all	110193.25
SRR1086328.all	223705.75
SRR1086349.all	219718.75
SRR1086369.all	236675.75
SRR1086393.all	196396.25
SRR1086417.all	217766.75
SRR1086441.all	308238.75
SRR1086466.all	155276.5
SRR1086490.all	241134.5
SRR1086514.all	294317.25
SRR1086538.all	168493.0
SRR1086561.all	192717.0
SRR1086585.all	195355.0
SRR1086611.all	270747.5
SRR1086635.all	255184.5
SRR1086656.all	239513.25
SRR1086680.all	212485.0
SRR1086702.all	176166.75
SRR1086728.all	228173.25
SRR1086752.all	218496.0
SRR1086772.all	270978.5
SRR1086796.all	174845.75
SRR1086820.all	212591.75
SRR1086844.all	191891.25
SRR1086869.all	228441.75
SRR1086889.all	135487.0
SRR1086915.all	242709.75
SRR1086935.all	270873.5
SRR1086959.all	230223.75
SRR1086983.all	205470.0
SRR1087007.all	147758.75
SRR1087031.all	183696.25
SRR1087055.all	237868.25
SRR1087079.all	214670.75
SRR1087101.all	155528.75
SRR1087127.all	341078.75
SRR1087152.all	174740.5
SRR1087173.all	265220.25
SRR1087197.all	158368.25
SRR1087221.all	257102.5
SRR1087271.all	172362.25
SRR1087297.all	186789.75
SRR1087321.all	139721.75
SRR1087345.all	226807.0
SRR1087369.all	141307.25
SRR1087393.all	263115.5
SRR1087415.all	212159.75
SRR1087439.all	202120.75
SRR1087463.all	257639.75
SRR1087487.all	72395.0
SRR1087511.all	231490.75
SRR1087535.all	222487.75
SRR1087559.all	195351.25
SRR1087585.all	274365.0
SRR1087606.all	192283.0
SRR1087630.all	184716.5
SRR1087654.all	25569.25
SRR1087680.all	281878.75
SRR1087704.all	217314.25
SRR1087728.all	180987.25
SRR1087752.all	203917.25
SRR1087776.all	260719.25
SRR1087801.all	266731.25
SRR1087825.all	170357.75
SRR1087850.all	255455.75
SRR1087875.all	212373.25
SRR1087942.all	161603.0
SRR1087968.all	216605.0
SRR1087992.all	154616.75
SRR1088016.all	248213.75
SRR1088044.all	265079.25
SRR1088068.all	226216.5
SRR1088093.all	202720.75
SRR1088117.all	204535.5
SRR1088142.all	123918.75
SRR1088168.all	73405.5
SRR1088192.all	289646.25
SRR1088217.all	236190.0
SRR1088241.all	251916.75
SRR1088267.all	185194.25
SRR1088291.all	122300.75
SRR1088316.all	191072.5
SRR1088340.all	248134.0
SRR1088365.all	167301.25
SRR1088389.all	204860.25
SRR1088413.all	132464.5
SRR1088437.all	160963.5
SRR1088461.all	185653.75
SRR1088487.all	224018.0
SRR1088511.all	175529.25
SRR1088537.all	121038.25
SRR1088557.all	212352.0
SRR1088581.all	218358.0
SRR1088606.all	289698.0
SRR1088631.all	262809.75
SRR1088656.all	252763.25
SRR1088680.all	173994.25
SRR1088706.all	259502.5
SRR1088734.all	194737.25
SRR1088758.all	196012.0
SRR1088782.all	165261.25
